source_final_attribute_id,target_final_attribute_id,source_label,target_label,relation_type,edge_weight,max_llm_confidence,supporting_pair_count,supporting_pair_ids_json
attr_domain_specific_overlays__number_of_asian_r_is_acquainted_with__c32733b747,attr_domain_specific_overlays__number_of_brenda_r_is_acquainted_with__3a5e756935,number of asian r is acquainted with,number of brenda r is acquainted with,related_but_distinct,0.493,0.85,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__320e4912e750""]"
attr_worldview_beliefs_and_attitu__how_religious_is_r__4802d7c826,attr_worldview_beliefs_and_attitu__how_well_r_s_religion_describes_r__9f3c21695b,how religious is r,how well r's religion describes r,related_but_distinct,0.493,0.85,1,"[""pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__c75070a27f95""]"
attr_personality_traits__modesty__08cf0463e2,attr_personality_traits__sincerity__e80ea172d2,Modesty,Sincerity,related_but_distinct,0.493,0.85,1,"[""pair_attr_personality_traits_modesty_08cf__attr_personality_traits_sincerity_e8__9506405e8f0d""]"
attr_life_context_and_constraints__how_important_go_to_psychiatrist_for_help__769de00995,merged_attr_a699942c92a9,how important: go to psychiatrist for help,what x should do: go to psychiatrist,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_x__1378085c8418""]"
attr_demographics_and_population__is_14th_person_visitor_staying_elsewhere_now__b69dc428b2,attr_demographics_and_population__is_4th_person_staying_somewhere_else_now__6dfad1c984,is 14th person (visitor) staying elsewhere now?,is 4th person staying somewhere else now?,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_is__attr_demographics_and_population_is__aa8beb57b12e""]"
attr_life_context_and_constraints__how_much_pay_dependent_on_children__0fb450816b,merged_attr_c0e6d5a3fd6e,how much pay dependent on children,how much pay dependent on working hard,related_but_distinct,0.522,0.9,2,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__9e14ac82cf35"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ff3b724f735c""]"
attr_life_context_and_constraints__treatment_for_downheartedness_improve_quality_of_life__a012d3e1f0,attr_life_context_and_constraints__treatment_for_emotion_improve_quality_of_li__4735c5605c,treatment for downheartedness improve quality of life,treatment for emotion improve quality of li,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_tr__attr_life_context_and_constraints_tr__81ea1e130bc9""]"
attr_worldview_beliefs_and_attitu__how_often_pa_attended_religious_services__d25bcce8c6,attr_worldview_beliefs_and_attitu__number_of_days_attended_religious_services__9e388ee036,how often pa attended religious services,number of days attended religious services,related_but_distinct,0.493,0.85,1,"[""pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_nu__edadf6d0d49d""]"
merged_attr_fab44dbd0e73,attr_life_context_and_constraints__school_service_group1_meets_in_this_area__f6a37f1dc9,other group1 meets in this area,school service group1 meets in this area,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ot__attr_life_context_and_constraints_sc__23d184420105""]"
attr_life_context_and_constraints__in_what_order_take_prescription_medication__1012332374,attr_life_context_and_constraints__what_x_should_do_take_prescription_medication__80621ba929,in what order take prescription medication,what x should do: take prescription medication,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_in__attr_life_context_and_constraints_wh__c2fef4637bf1""]"
attr_demographics_and_population__relationship_of_7th_person_to_household_head__7878d4611c,attr_demographics_and_population__respondent_s_relationship_to_household_head__e77cfa93eb,relationship of 7th person to household head,respondent's relationship to household head,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_rel__attr_demographics_and_population_res__c03df4ab5e8b""]"
attr_worldview_beliefs_and_attitu__r_sought_political_information_friends_or_relatives__be303e08af,merged_attr_13484cecf0cb,r sought political information friends or relatives,r sought political information political magazine,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__c06d10ef9f62""]"
attr_values_goals_and_motivations__estimated_value_contributed_in_environment__d463fbe2dc,attr_values_goals_and_motivations__estimated_value_contributed_in_political_org_etc__b947d08149,estimated value contributed in environment,estimated value contributed in political org. etc,related_but_distinct,0.522,0.9,1,"[""pair_attr_values_goals_and_motivations_es__attr_values_goals_and_motivations_es__48d5bf86f14d""]"
attr_life_context_and_constraints__who_r_would_first_turn_to_if_they_needed_help_finding__5b7e3743b0,attr_life_context_and_constraints__who_r_would_first_turn_to_if_they_needed_help_with_adm__db50fa9e78,who r would first turn to if they needed help finding a job,who r would first turn to if they needed help with admin or official paperwork,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__68b1c368fa1b""]"
merged_attr_a699942c92a9,attr_life_context_and_constraints__x_should_go_to_spiritual_healer_for_help__95b4f4290d,what x should do: go to psychiatrist,x should go to spiritual healer for help,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__71e8874ce672""]"
attr_worldview_beliefs_and_attitu__how_fundamentalist_is_partner_s_current_religion__c0dc927088,attr_worldview_beliefs_and_attitu__how_fundamentalist_is_r_currently__c39fdbd83e,how fundamentalist is partner's current religion,how fundamentalist is r currently,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__f66fad1886b3""]"
attr_worldview_beliefs_and_attitu__number_oflinda_r_trust__f210e693d9,attr_worldview_beliefs_and_attitu__number_ofrachel_r_trust__28ad1c73fa,number oflinda r trust,number ofrachel r trust,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__a5c0977c5823""]"
attr_domain_specific_overlays__number_of_black_r_is_acquainted_with__0fc04cd956,attr_domain_specific_overlays__number_of_police_officer_r_is_acquainted_with__c174641589,number of black r is acquainted with,number of police officer r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__22e9dcd0cd2f""]"
attr_domain_specific_overlays__number_of_electrician_r_is_acquainted_with__44e45509d9,attr_domain_specific_overlays__number_of_rachel_r_is_acquainted_with__d12efb19cd,number of electrician r is acquainted with,number of rachel r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__dcd81f0cbb90""]"
attr_personality_traits__react_slowly__5dd8ca2930,attr_personality_traits__read_slowly__3bf34038bc,React slowly.,Read slowly.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_react_slowly__attr_personality_traits_read_slowly__808159dc431f""]"
attr_life_context_and_constraints__done_volunteer_work_in_international__4cd9b1341d,attr_life_context_and_constraints__h_done_volunteer_work_in_youth_development__c2f8a72347,done volunteer work in international,h done volunteer work in youth development,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_h__967e4361454d""]"
attr_demographics_and_population__mother_vs_father_care_for_child__c440ed24ca,attr_demographics_and_population__mother_vs_father_provide_financially__bcca7d3f0e,mother vs father care for child,mother vs father provide financially,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_mot__attr_demographics_and_population_mot__1b0f134f0f82""]"
attr_demographics_and_population__is_11th_person_visitor_staying_elsewhere_now__0b46ece631,attr_demographics_and_population__is_9th_person_staying_somewhere_else_now__e875b46bf0,is 11th person (visitor) staying elsewhere now?,is 9th person staying somewhere else now?,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_is__attr_demographics_and_population_is__52a2f42dd38e""]"
attr_life_context_and_constraints__first_mention_of_problem__89d5695a5e,attr_life_context_and_constraints__third_mention_to_help_problem__e0d8c717f5,first mention of problem,third mention to help problem,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_fi__attr_life_context_and_constraints_th__9266378ea7e2""]"
attr_values_goals_and_motivations__estimated_value_contributed_in_political_org_etc__b947d08149,attr_worldview_beliefs_and_attitu__estimated_value_contributed_in_religious_org__6970dd9174,estimated value contributed in political org. etc,estimated value contributed in religious org,related_but_distinct,0.493,0.85,1,"[""pair_attr_values_goals_and_motivations_es__attr_worldview_beliefs_and_attitu_es__f561f4456052""]"
attr_worldview_beliefs_and_attitu__number_of_shawn_r_trust__96bfe687cb,attr_worldview_beliefs_and_attitu__number_ofmark_r_trust__6880285045,number of shawn r trust,number ofmark r trust,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__486f2aac1df3""]"
merged_attr_2116454d5531,attr_personality_traits__use_sex_to_get_what_i_want__e58d9909bf,Use my looks to get what I want.,Use sex to get what I want.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_use_my_looks__attr_personality_traits_use_sex_to_g__e9cb52e07455""]"
attr_demographics_and_population__race_of_murder_victim_closest_to_r__b43512e170,attr_demographics_and_population__region_of_murder_victim_3rd_closest_to_r__e34fa1cd01,race of murder victim closest to r,region of murder victim 3rd closest to r,related_but_distinct,0.493,0.85,1,"[""pair_attr_demographics_and_population_rac__attr_demographics_and_population_reg__53527fcefe26""]"
attr_domain_specific_overlays__number_of_keith_r_is_acquainted_with__eb90bf925c,attr_domain_specific_overlays__number_of_lawyer_r_is_acquainted_with__26c5a41994,number of keith r is acquainted with,number of lawyer r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__5c5bb6f2c380""]"
attr_domain_specific_overlays__number_of_lawyer_r_is_acquainted_with__26c5a41994,attr_domain_specific_overlays__number_of_shawn_r_is_acquainted_with__48b3d17bbd,number of lawyer r is acquainted with,number of shawn r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__5699ff50f3fc""]"
attr_social_identity_relationship__number_of_asian_family_member__919b1bcf64,attr_social_identity_relationship__number_of_asian_in_neighborhood__ce56ad49aa,number of asian family member,number of asian in neighborhood,related_but_distinct,0.522,0.9,1,"[""pair_attr_social_identity_relationship_nu__attr_social_identity_relationship_nu__6b6bc2e4862b""]"
attr_worldview_beliefs_and_attitu__school_subjects_concern_for_others__59984bd215,attr_worldview_beliefs_and_attitu__school_subjects_respect_for_authority__9af268e887,school subjects: concern for others,school subjects: respect for authority,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_sc__attr_worldview_beliefs_and_attitu_sc__17232c517fd2""]"
attr_domain_specific_overlays__how_important_to_have_been_born_in_america__aa8061d76a,attr_domain_specific_overlays__how_important_to_have_lived_in_america_for_life__94c070a2b6,how important to have been born in america,how important to have lived in america for life,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_how_im__attr_domain_specific_overlays_how_im__bd18575f6c2f""]"
attr_behavioral_patterns_and_pref__how_often_does_r_contact_cousin__81313838d0,attr_behavioral_patterns_and_pref__how_often_does_r_contact_god_parents__67988d8c46,how often does r contact cousin,how often does r contact god-parents,related_but_distinct,0.522,0.9,1,"[""pair_attr_behavioral_patterns_and_pref_ho__attr_behavioral_patterns_and_pref_ho__a113cf032175""]"
attr_worldview_beliefs_and_attitu__number_of_asian_r_trust__ba0bb0cfc6,attr_worldview_beliefs_and_attitu__number_of_shawn_r_trust__96bfe687cb,number of asian r trust,number of shawn r trust,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__4fb9e4b1ad72""]"
attr_personality_traits__self_confidence__efa94de7a7,attr_personality_traits__self_sufficiency__bb8e85011f,Self-confidence,Self-sufficiency,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_self_confide__attr_personality_traits_self_suffici__a4de18a59b95""]"
attr_domain_specific_overlays__would_r_have_child_be_on_med_by_hospital_staff__cbf1d9e4f1,attr_domain_specific_overlays__would_r_have_child_be_on_medication_by_fam_advice__045d7a54c4,would r have child be on med by hospital staff,would r have child be on medication by fam advice,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_would__attr_domain_specific_overlays_would__a31480af638c""]"
attr_demographics_and_population__points_assigned_to_asian_american__3ed6b6a359,attr_demographics_and_population__points_assigned_to_other__6b5fbb9b2c,points assigned to asian american,points assigned to other,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_poi__attr_demographics_and_population_poi__59340e97e9e2""]"
attr_life_context_and_constraints__how_many_r_belongs_to_fraternal_groups__c43ceb5dd1,merged_attr_2fccaa6630c5,how many r belongs to fraternal groups,how many yrs r been a member of fraternal groups1,related_but_distinct,0.522,0.9,4,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__0f2ac7e5f788"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__a9b74d88321a"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ed9a0b883281"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__0709916342a7""]"
attr_life_context_and_constraints__other_group5_meets_in_this_area__025f83629e,attr_life_context_and_constraints__service_club5_meets_in_this_area__ae6584d842,other group5 meets in this area,service club5 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ot__attr_life_context_and_constraints_se__f75435ee2765""]"
merged_attr_cb9d78ca6185,attr_personality_traits__am_not_good_at_telling_jokes__449d2af0b9,Am good at making jokes.,Am not good at telling jokes.,inverse_pole,0.817,0.95,1,"[""pair_attr_personality_traits_am_good_at_m__attr_personality_traits_am_not_good__6e224cb3df98""]"
attr_behavioral_patterns_and_pref__cuisine_chinese__fc918b4ba9,attr_behavioral_patterns_and_pref__cuisine_vietnamese__5b0d81c0b5,Cuisine: Chinese,Cuisine: Vietnamese,related_but_distinct,0.522,0.9,1,"[""pair_attr_behavioral_patterns_and_pref_cu__attr_behavioral_patterns_and_pref_cu__8cb4c2abdd38""]"
attr_domain_specific_overlays__number_of_keith_r_is_acquainted_with__eb90bf925c,attr_domain_specific_overlays__number_of_linda_r_is_acquainted_with__1290a6e2fb,number of keith r is acquainted with,number of linda r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__e641f19df8a1""]"
merged_attr_180c311f28b0,attr_life_context_and_constraints__how_many_r_belongs_to_veterans_groups__ca435b36df,how many r belongs to literary groups,how many r belongs to veterans groups,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__172b06e152a8""]"
attr_life_context_and_constraints__what_caused_x_s_situation__6459a4ce98,merged_attr_cd3b2841ae56,what caused x s situation,x s situation caused by: stress,broader_than,0.702,0.9,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_x__46c82b8d0f16""]"
attr_life_context_and_constraints__number_of_adult_daughter_s__4b1d6da0a4,attr_life_context_and_constraints__number_of_adult_sons__447b47fc91,number of adult daughter's,number of adult sons,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_nu__attr_life_context_and_constraints_nu__8a45a9b556dd""]"
attr_worldview_beliefs_and_attitu__afterlife_contrast_shadows_or_full__2aeeb1f87b,attr_worldview_beliefs_and_attitu__afterlife_contrast_spiritual_or_sensual__974bffb3f0,afterlife contrast: shadows or full,afterlife contrast: spiritual or sensual,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_af__attr_worldview_beliefs_and_attitu_af__5311af8fb11d""]"
attr_life_context_and_constraints__r_belongs_to_more_than_one_farm_organizations__45f3287dfd,merged_attr_319934576c1d,r belongs to more than one farm organizations,r belongs to more than one fraternal groups,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__2986df58d26d""]"
attr_domain_specific_overlays__number_of_brother_deaths__c7bbcd5e87,attr_domain_specific_overlays__number_of_cousin_deaths__e9fd96d4ca,number of brother deaths,number of cousin deaths,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__852dec8695d3""]"
attr_life_context_and_constraints__r_would_make_friends_with_x__ffa0ba8749,attr_life_context_and_constraints__r_would_spend_time_socializing_with_x__6e6f9d142d,r would make friends with x,r would spend time socializing with x,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__eb01667f4594""]"
merged_attr_f0031c260a57,attr_life_context_and_constraints__proud_to_be_working_for_this_org__e458491343,i am proud working for my firm,proud to be working for this org.,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_i__attr_life_context_and_constraints_pr__b14d3410ad49""]"
attr_life_context_and_constraints__done_volunteer_work_in_health_past_12_mnths__6f7f4d5568,attr_life_context_and_constraints__done_volunteer_work_in_work_related_org__dcd3b2b17d,done volunteer work in health past 12 mnths,done volunteer work in work-related org,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__680c11251cab""]"
attr_life_context_and_constraints__helped_somebody_to_find_a_job_past_12_months__d182ec33c6,attr_life_context_and_constraints__helped_someone_with_hwork_during_past_12_months__c7ed2e2bec,helped somebody to find a job past 12 months,helped someone with hwork during past 12 months,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_he__attr_life_context_and_constraints_he__3cb010ad10c5""]"
attr_demographics_and_population__professional_women_s_lives_improved__bf966046fe,attr_demographics_and_population__working_class_women_s_lives_improved__c08fad6153,professional women's lives improved,working-class women's lives improved,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_pro__attr_demographics_and_population_wor__14f4bcee6ea2""]"
attr_worldview_beliefs_and_attitu__r_active_in_church_group__abd0f608df,attr_worldview_beliefs_and_attitu__r_active_in_veteran_group__3e8d66626b,r active in church group,r active in veteran group,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__78d6a1de0e1a""]"
attr_worldview_beliefs_and_attitu__number_of_shawn_r_trust__96bfe687cb,attr_worldview_beliefs_and_attitu__number_ofrachel_r_trust__28ad1c73fa,number of shawn r trust,number ofrachel r trust,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__bb4378ce55c8""]"
attr_cognitive_and_capability_pro__familiarity_control_systems__dc0acf5f20,attr_cognitive_and_capability_pro__familiarity_distributed_systems__3bf32e0061,Familiarity: Control systems,Familiarity: Distributed systems,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_fa__attr_cognitive_and_capability_pro_fa__fe92c9642c0e""]"
attr_life_context_and_constraints__how_willing_r_would_make_friends_with_x__a5b96c0a17,attr_life_context_and_constraints__how_willing_r_would_work_closely_with_x_on_a_job__6be72ff883,how willing r would make friends with x,how willing r would work closely with x on a job,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__7cf84495abc5""]"
attr_worldview_beliefs_and_attitu__afterlife_contrast_better_or_lacking__f018542b43,attr_worldview_beliefs_and_attitu__afterlife_contrast_shadows_or_full__2aeeb1f87b,afterlife contrast: better or lacking,afterlife contrast: shadows or full,broader_than,0.702,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_af__attr_worldview_beliefs_and_attitu_af__4949c62968a5""]"
attr_life_context_and_constraints__how_many_r_belongs_to_farm_organizations__3d97a62ec0,attr_life_context_and_constraints__how_many_r_belongs_to_labor_unions__c38fb8c8de,how many r belongs to farm organizations,how many r belongs to labor unions,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ce3992384bad""]"
attr_domain_specific_overlays__who_would_r_has_voted_for_in_2000_election__a814e0c6bc,attr_domain_specific_overlays__who_would_r_have_voted_for_1972_election__842f35f29c,who would r has voted for in 2000 election,who would r have voted for-1972 election,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__5f7226857439""]"
attr_worldview_beliefs_and_attitu__number_ofjose_r_trust__ce45297a76,attr_worldview_beliefs_and_attitu__number_ofkeith_r_trust__3035516b57,number ofjose r trust,number ofkeith r trust,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__dc3eb017f716""]"
attr_domain_specific_overlays__number_of_linda_r_is_acquainted_with__1290a6e2fb,attr_domain_specific_overlays__number_of_shawn_r_is_acquainted_with__48b3d17bbd,number of linda r is acquainted with,number of shawn r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__1efd712fce84""]"
attr_worldview_beliefs_and_attitu__attend_some_other_type_of_religious_event__1775c4d7f9,attr_worldview_beliefs_and_attitu__what_type_of_religious_events_or_meetings__5c20637908,attend some other type of religious event,what type of religious events or meetings,broader_than,0.702,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_at__attr_worldview_beliefs_and_attitu_wh__bb416d5c26c3""]"
attr_worldview_beliefs_and_attitu__only_trust_psychiatrist_prescription__bfbf98b105,attr_worldview_beliefs_and_attitu__would_trust_family_physician_prescription__3889e9730e,only trust psychiatrist prescription,would trust family physician prescription,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_on__attr_worldview_beliefs_and_attitu_wo__aa1e7dba2ccb""]"
attr_life_context_and_constraints__how_willing_r_would_have_x_marry_in_r_s_family__c343f6e3a9,attr_life_context_and_constraints__how_willing_r_would_make_friends_with_x__a5b96c0a17,how willing r would have x marry in r's family,how willing r would make friends with x,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__6fb80f1d45c1""]"
attr_social_identity_relationship__number_of_cohabiting_family_member__fc75c28027,attr_social_identity_relationship__number_of_cohabiting_ppl_in_neighborhood__ee35278f58,number of cohabiting family member,number of cohabiting ppl in neighborhood,related_but_distinct,0.522,0.9,1,"[""pair_attr_social_identity_relationship_nu__attr_social_identity_relationship_nu__2929ce52b7b9""]"
attr_worldview_beliefs_and_attitu__children_attend_other_church_school__f2d678c69d,attr_worldview_beliefs_and_attitu__children_attend_private_secular_school__4bfc66ee32,children attend other church school,children attend private secular school,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ch__attr_worldview_beliefs_and_attitu_ch__2b740a08a061""]"
attr_life_context_and_constraints__how_long_r_wait_treatment_lack_of_energy__b4108dc428,attr_life_context_and_constraints__how_long_r_wait_treatment_not_calm_and_peace__ddeada3665,how long r wait treatment lack of energy,how long r wait treatment not calm and peace,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__ead8bc2f7d6f""]"
attr_life_context_and_constraints__done_volunteer_work_in_health_past_month__9aea8d7695,attr_life_context_and_constraints__h_done_volunteer_work_in_youth_development__c2f8a72347,done volunteer work in health past month,h done volunteer work in youth development,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_h__d10353800882""]"
attr_life_context_and_constraints__school_service_group2_meets_in_this_area__c4b1b79cf2,attr_life_context_and_constraints__service_club3_meets_in_this_area__0b405ccd9c,school service group2 meets in this area,service club3 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_sc__attr_life_context_and_constraints_se__04bc86044eae""]"
attr_demographics_and_population__women_not_suited_for_politics__7af43394d6,merged_attr_4e160e6292c8,women not suited for politics,women not suited for politics (no volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_wom__attr_worldview_beliefs_and_attitu_wo__f30fa7ffbeaf""]"
attr_life_context_and_constraints__veteran_group5_meets_in_this_area__d50bc9bd89,attr_life_context_and_constraints__youth_group5_meets_in_this_area__347c98a740,veteran group5 meets in this area,youth group5 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ve__attr_life_context_and_constraints_yo__db4d369921da""]"
attr_personality_traits__get_angry_easily__cde8a500d5,attr_personality_traits__get_irritated_easily__9aeef1a6d7,Get angry easily.,Get irritated easily.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_get_angry_ea__attr_personality_traits_get_irritate__9d43b285650b""]"
attr_life_context_and_constraints__how_long_r_wait_treatment_not_calm_and_peace__ddeada3665,attr_life_context_and_constraints__how_long_r_wait_treatment_working_less_care__c9eb4ad324,how long r wait treatment not calm and peace,how long r wait treatment working less care,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__a749d7e1087e""]"
attr_life_context_and_constraints__how_many_hours_spent_in_environment__86f4375b7d,attr_life_context_and_constraints__how_many_hours_spent_in_work_related_org__4b196e3bdc,how many hours spent in environment,how many hours spent in work-related org,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__fed5ccb6ea0f""]"
attr_domain_specific_overlays__music_bluegrass__a7b9e266d4,attr_domain_specific_overlays__music_blues__02ddaadeae,Music: Bluegrass,Music: Blues,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_music__attr_domain_specific_overlays_music__d4ee81c36a54""]"
attr_behavioral_patterns_and_pref__cuisine_japanese__d8ee19ba27,attr_behavioral_patterns_and_pref__cuisine_sushi__5a3784c85d,Cuisine: Japanese,Cuisine: Sushi,broader_than,0.702,0.9,1,"[""pair_attr_behavioral_patterns_and_pref_cu__attr_behavioral_patterns_and_pref_cu__d01ca5348b12""]"
attr_demographics_and_population__image_of_god_as_king__e9b930e8df,attr_demographics_and_population__image_of_god_as_mother__d822b05fa9,image of god as king,image of god as mother,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_ima__attr_demographics_and_population_ima__16abec40397e""]"
attr_life_context_and_constraints__rank_of_boredom_when_unemployed__8439cfcaa1,attr_life_context_and_constraints__rank_of_how_to_spend_time_when_unemployed__38bbadba29,rank of boredom when unemployed,rank of how to spend time when unemployed,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ra__attr_life_context_and_constraints_ra__a724909f6f7a""]"
attr_life_context_and_constraints__informal_group1_meets_in_this_area__1c72d5fc3d,attr_life_context_and_constraints__military_group1_meets_in_this_area__4f3d293289,informal group1 meets in this area,military group1 meets in this area,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_in__attr_life_context_and_constraints_mi__b34d07e94afe""]"
attr_life_context_and_constraints__1st_mention_what_mental_illness_is_imputed__841a18d004,attr_life_context_and_constraints__2nd_mention_what_mental_illness_is_symptoms__656bde942e,"1st mention, what mental illness is, imputed","2nd mention, what mental illness is, symptoms",related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_2n__4a3fc341bcb2""]"
attr_life_context_and_constraints__do_you_use_any_other_social_networks__e008aa262c,attr_life_context_and_constraints__first_other_social_network__b997de50a6,do you use any other social networks,first other social network,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_fi__9ee42e26d16e""]"
attr_life_context_and_constraints__treatment_for_emotion_improve_family_relations__49c2d43ef6,attr_life_context_and_constraints__treatment_for_emotion_rely_less_on_others__c7144846f0,treatment for emotion improve family relations,treatment for emotion rely less on others,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_tr__attr_life_context_and_constraints_tr__fc2725db5a44""]"
